epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.791075587272644,0.0005000000237487257,1.6373685598373413,0.5912408828735352,0.8256669044494629
1,0.7794686555862427,0.0005000000237487257,0.7692040205001831,0.6131386756896973,0.8471330404281616
2,0.7913334965705872,0.0005000000237487257,0.5190821290016174,0.5970802903175354,1.1834291219711304
3,0.7433582544326782,0.0005000000237487257,0.7335872054100037,0.9153284430503845,0.2158045470714569
4,0.7761155366897583,0.0005000000237487257,0.5658606886863708,0.9167883396148682,0.19506168365478516
5,0.8635542988777161,0.0005000000237487257,0.28479841351509094,0.8014598488807678,0.5632997155189514
6,0.8318287134170532,0.0005000000237487257,0.3801625967025757,0.9343065619468689,0.1651202291250229
7,0.8282176852226257,0.0005000000237487257,0.6570470333099365,0.9591240882873535,0.11387796700000763
8,0.8589115142822266,0.0005000000237487257,0.23640166223049164,0.9518248438835144,0.13285242021083832
9,0.8983750343322754,0.0005000000237487257,0.21767768263816833,0.947445273399353,0.14570100605487823
10,0.8810936212539673,0.0005000000237487257,0.3454670310020447,0.40875911712646484,2.9112157821655273
11,0.7309775352478027,0.0005000000237487257,0.7540022730827332,0.8598540425300598,0.38191407918930054
12,0.7732782959938049,0.0005000000237487257,0.48996251821517944,0.6350364685058594,2.3033018112182617
13,0.7970079779624939,0.0002500000118743628,0.38567739725112915,0.9124087691307068,0.20209041237831116
14,0.8359556198120117,0.0002500000118743628,0.3207390606403351,0.8934306502342224,0.24391768872737885
15,0.830797016620636,0.0002500000118743628,0.6287539601325989,0.903649628162384,0.2401098608970642
16,0.8349239230155945,0.0002500000118743628,0.29346081614494324,0.8437955975532532,0.4536606967449188
17,0.8651018738746643,0.0002500000118743628,0.22923295199871063,0.8905109763145447,0.2655145227909088
